unit_id,mode_name,mode_type,stat_modifiers,weapon_config,switch_time
SiegeTank,攻城模式,alternate,"{""armor"": 3, ""movement_speed"": -2.25}",震荡炮,3.0
SiegeTank,攻城模式,alternate,"{""armor"": 3, ""movement_speed"": -2.25}",震荡炮,3.0
SiegeTank,攻城模式,alternate,"{""armor"": 3, ""movement_speed"": -2.25}",震荡炮,3.0
SiegeTank,坦克模式,default,{},90mm火炮,0.0
SiegeTank,坦克模式,default,{},90mm火炮,0.0
SiegeTank,坦克模式,default,{},90mm火炮,0.0
Viking,战斗模式,alternate,"{""movement_speed"": 1.1, ""is_flying"": true}",兰泽鱼雷,2.25
Viking,战斗模式,alternate,"{""movement_speed"": 1.1, ""is_flying"": true}",兰泽鱼雷,2.25
Viking,战斗模式,alternate,"{""movement_speed"": 1.1, ""is_flying"": true}",兰泽鱼雷,2.25
Viking,突袭模式,default,{},加特林机炮,0.0
Viking,突袭模式,default,{},加特林机炮,0.0
Viking,突袭模式,default,{},加特林机炮,0.0
